label,url_length,domain_length,nb_fragments,label_num
legitimate,24,16,0,0
legitimate,20,12,0,0
legitimate,21,13,0,0
legitimate,27,19,0,0
legitimate,24,16,0,0
legitimate,19,11,0,0
legitimate,21,13,0,0
legitimate,30,22,0,0
legitimate,24,16,0,0
legitimate,28,20,0,0
legitimate,25,17,0,0
legitimate,24,16,0,0
legitimate,24,16,0,0
legitimate,24,16,0,0
legitimate,24,16,0,0
legitimate,24,16,0,0
legitimate,18,10,0,0
legitimate,21,13,0,0
legitimate,18,10,0,0
legitimate,19,11,0,0
legitimate,26,18,0,0
legitimate,29,21,0,0
legitimate,21,13,0,0
legitimate,26,18,0,0
legitimate,24,16,0,0
legitimate,20,12,0,0
legitimate,24,16,0,0
legitimate,21,13,0,0
legitimate,25,17,0,0
legitimate,21,13,0,0
legitimate,23,15,0,0
legitimate,23,15,0,0
legitimate,23,15,0,0
legitimate,21,13,0,0
legitimate,21,13,0,0
legitimate,23,15,0,0
legitimate,21,13,0,0
legitimate,23,15,0,0
legitimate,24,16,0,0
legitimate,22,14,0,0
legitimate,19,11,0,0
legitimate,19,11,0,0
legitimate,26,18,0,0
legitimate,23,15,0,0
legitimate,22,14,0,0
legitimate,27,19,0,0
legitimate,23,15,0,0
legitimate,20,12,0,0
legitimate,25,11,0,0
legitimate,20,12,0,0
legitimate,20,12,0,0
legitimate,30,22,0,0
legitimate,20,12,0,0
legitimate,27,19,0,0
legitimate,20,12,0,0
legitimate,30,22,0,0
legitimate,26,18,0,0
legitimate,23,15,0,0
legitimate,27,19,0,0
